Polling District Polling Station Male Female % Male % Female Voters
Province: 6 MUCHINGA 0
District 002 CHINSALI
Constituency 87 CHINSALI CENTRAL
Ward : 000106002010 , LUBU
106002004301 MIBANGA - 1 Mibanga Primary School-01 115 100 53.49 46.51 215
106002004401 CHIMBUKA - 1 Chimbuka Primary School-01 203 231 46.77 53.23 434
214
Polling District Polling Station Male Female % Male % Female Voters
106002004501 MUNDU - 1 Mundu Primary School-01 465 525 46.97 53.03 990
106002004601 KAMPEMBA - 1 Kampemba Primary School-01 274 287 48.84 51.16 561
106002004602 KAMPEMBA - 2 Kampemba Primary School-02 256 305 45.63 54.37 561
106002004701 LUKO - 1 Luko Primary School-01 250 295 45.87 54.13 545
106002004702 LUKO - 2 Luko Primary School-02 239 305 43.93 56.07 544
Totals for Ward : Polling Districts : 7 1,802 2,048 46.81 53.19 3,850
Ward : 000106002017 , CHAMBESHI
106002008401 MULOLO - 1 Mulolo Primary School-01 334 427 43.89 56.11 761
106002008501 CHUNGULO - 1 Chungulo Primary School-01 480 504 48.78 51.22 984
106002008601 KAMANACHILI - 1 Kamanachili Primary School-01 408 469 46.52 53.48 877
106002008701 CHESWA - 1 Cheswa Primary School-01 261 310 45.71 54.29 571
106002008702 CHESWA - 2 Cheswa Primary School-02 265 305 46.49 53.51 570
Totals for Ward : Polling Districts : 5 1,748 2,015 46.45 53.55 3,763
Totals for Constituency : CHILINDA 59 14,999 16,599 31,598
Totals for District : CHINSALI 116 33,604 36,133 69,737
District 003 ISOKA
Constituency 88 ISOKA
Ward : 000106003002 , ITUKUTA
106003000401 NKALA - 1 Nkala UCZ Church-01 175 170 50.72 49.28 345
106003000501 KAFWIMBI - 1 Kafwimbi Secondary School-01 388 345 52.93 47.07 733
106003000601 LULUMBI - 1 UCZ Church-01 93 117 44.29 55.71 210
106003000701 LONGWE - 1 Longwe Primary School-01 237 223 51.52 48.48 460
106003000801 MANDALA - 1 Nasala Primary School-01 224 209 51.73 48.27 433
