WESTERN PROVINCE — HIERARCHICAL VOTER LIST
===========================================
Format: Level | Name | Total Voters
===========================================

PROVINCE: WESTERN

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
    Ward 004: MUWESWA           | 1,054
    Ward 005: SIBUKALI          | 1,414
    Ward 006: LUMBE             | 1,384
    Ward 007: SILWIZI           | 1,417
    Ward 008: NALUYWA           | 1,704
    Ward 009: WANYAU            | 2,360
    Ward 010: IMATANDA          | 8,111
    Ward 011: IMATONGO          | 6,204
    Ward 012: LIPUWE            | 2,052
    Ward 013: MWANAMBUYU        | 2,330
    Ward 014: LIANGATI          | 2,330

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 013: SESHEKE | 26,498
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 153: SESHEKE | 26,498
    Ward 001: NANGOMBE          | 1,201
    Ward 002: LUAMPUNGU         |   876
    Ward 003: LUSU              | 1,784
    Ward 004: MAONDO            | 2,133
    Ward 005: NAKATINDI         | 3,831
    Ward 006: MULIMAMBANGO      | 7,269
    Ward 007: KATIMA MULILO     | 4,735
    Ward 008: KALOBELELWA       | 2,415
    Ward 009: SILUMBU           | 1,164
    Ward 010: IMUSHO            | 1,090

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 014: SHANGOMBO | 26,570
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 154: SHANGOMBO | 26,570
    Ward 001: SIPUMA            | 1,388
    Ward 002: LILONDO           | 1,642
    Ward 003: SIMU              | 5,126
    Ward 004: MAMBOLOMOKA       | 3,176
    Ward 005: MULANGU           | 2,615
    Ward 006: KEYANA            | 2,055
    Ward 007: NAMONO            | 1,263
    Ward 008: NALITENGEYA       | 1,073
    Ward 009: MULONGA           | 2,227
    Ward 010: BESHE             | 1,444
    Ward 011: STATE RANCH       | 2,140
    Ward 012: KAUNGA MASHI      | 2,421

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 015: SIKONGO | 18,972
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 155: SIKONGO | 18,972
    Ward 001: NENGU             |   814
    Ward 002: MUTALA            | 1,045
    Ward 003: MWENYI            | 1,656
    Ward 004: LUBUTA            | 1,263
    Ward 005: LWAMBI            | 1,789
    Ward 006: NATALUI           | 1,114
    Ward 007: LICHA             |   973
    Ward 008: MAALA             | 2,111
    Ward 009: LIUMENA           | 2,175
    Ward 010: TUUWA             | 1,396
    Ward 011: MALAMO            | 1,188
    Ward 012: LUMBAMBA          |   980
    Ward 013: LUETI             | 1,206
    Ward 014: NG'UMBELE         | 1,262

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 016: SIOMA | 19,792
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 156: SIOMA | 19,792
    Ward 001: KALONGOLA         | 1,412
    Ward 002: WATEMBO           | 1,473
    Ward 003: NALWASHI          |   878
    Ward 004: NANGWESHI         | 2,597
    Ward 005: MBETA             |   775
    Ward 006: SIOMA             | 2,897
    Ward 007: MBUME             | 1,919
    Ward 008: SIKABENGA         | 1,849
    Ward 009: MUTOMENA          | 2,376
    Ward 010: LIWANDAMO         | 1,588
    Ward 011: LIPANENO          |   895
    Ward 012: MULAMBA           | 1,133

===========================================
PROVINCE TOTALS SUMMARY
===========================================
District 001  KALABO          |  40,879
District 002  KAOMA           |  46,581
District 003  LIMULUNGA       |  22,355
District 004  LUAMPA          |  21,669
District 005  LUKULU          |  29,644
District 006  MITETE          |  14,137
District 007  MONGU           |  70,118
District 008  MULOBEZI        |  14,733
District 009  MWANDI          |  14,059
District 010  NALOLO          |  23,461
District 011  NKEYEMA         |  26,879
District 012  SENANGA         |  33,711
District 013  SESHEKE         |  26,498
District 014  SHANGOMBO       |  26,570
District 015  SIKONGO         |  18,972
District 016  SIOMA           |  19,792
-------------------------------------------
WESTERN PROVINCE TOTAL       | ~449,058
===========================================
